"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"745",543760,"Semien, Marcus",2019,"2965","25.1","0.285","0.237","0.294","0.522","0.373","0.359","0.267","187","657","88.9","15.0","2266","88.5","87.96","72","628","117","-0.5","5.99","108","152","116","145","301","321","290"
"739",596019,"Lindor, Francisco",2018,"2920","25.3","0.277","0.242","0.279","0.519","0.368","0.376","0.289","183","661","90.5","14.6","2174","88.6","88.26","84","644","95","-0.3","6.02","115","148","112","148","290","317","297"
"738",607208,"Turner, Trea",2018,"2927","25.2","0.271","0.145","0.314","0.416","0.331","0.335","0.273","180","664","88.6","9.1","2224","89.0","88.66","93","627","111","-0.3","6.03","106","150","105","146","301","317","292"
"730",593160,"Merrifield, Whit",2019,"2773","26.3","0.302","0.160","0.350","0.463","0.340","0.324","0.280","206","681","86.6","15.5","2229","89.1","88.91","99","658","72","-0.2","6.01","107","151","109","147","302","319","288"
"726",543760,"Semien, Marcus",2021,"2923","24.8","0.265","0.273","0.276","0.538","0.368","0.333","0.245","173","652","89.7","20.4","2226","89.4","89.34","117","626","100","-0.1","6.30","107","154","120","146","301","325","291"
"720",593160,"Merrifield, Whit",2021,"2608","27.6","0.277","0.117","0.309","0.395","0.306","0.301","0.263","184","664","86.4","14.0","2237","89.4","89.44","85","658","62","0.0","6.25","106","151","110","147","304","321","290"
"714",542340,"Villar, Jonathan",2019,"2843","25.1","0.274","0.179","0.341","0.453","0.335","0.315","0.246","176","642","88.2","7.5","2205","89.3","89.01","137","611","103","-0.3","6.04","110","149","110","148","292","321","296"
"713",660670,"Acuña Jr., Ronald",2019,"3048","23.4","0.280","0.238","0.337","0.518","0.369","0.390","0.279","175","626","90.6","14.1","2273","89.8","89.55","133","575","138","-0.2","6.02","109","152","117","146","313","328","296"
"706",593160,"Merrifield, Whit",2018,"2733","25.8","0.304","0.134","0.352","0.438","0.349","0.345","0.282","192","632","86.8","16.8","2231","88.6","87.98","95","621","85","-0.6","6.04","107","151","109","146","298","315","286"
"704",514917,"Hernández, César",2018,"3009","23.4","0.253","0.109","0.315","0.362","0.320","0.318","0.243","153","605","85.9","11.3","2169","89.5","89.26","105","559","145","-0.2","6.11","112","149","104","149","285","313","293"
"704",608324,"Bregman, Alex",2018,"2821","25.0","0.286","0.246","0.289","0.532","0.396","0.369","0.267","170","594","89.2","16.7","2226","89.1","88.42","62","574","130","-0.7","6.04","107","151","115","145","295","320","289"
"704",519317,"Stanton, Giancarlo",2018,"2942","23.9","0.266","0.243","0.333","0.509","0.360","0.345","0.241","164","617","93.7","11.7","2259","88.7","88.07","174","590","114","-0.6","5.98","108","154","121","147","306","328","296"
