"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"401",593428,"Bogaerts, Xander",2019,"2862","14.0","0.251","0.119","0.362","0.370","0.299","0.286","0.223","91","362","88.9","10.4","2289","88.6","88.23","90","331","70","-0.4","6.03","108","152","120","146","293","325","296"
"353",646240,"Devers, Rafael",2019,"2636","13.4","0.223","0.186","0.312","0.409","0.287","0.276","0.211","73","328","92.2","9.8","2247","88.7","88.40","101","311","42","-0.3","6.05","115","151","128","150","286","327","308"
"352",605141,"Betts, Mookie",2019,"2909","12.1","0.243","0.157","0.323","0.400","0.314","0.309","0.228","74","305","89.1","17.0","2288","88.7","88.44","68","276","76","-0.3","6.03","109","152","120","146","293","327","299"
"349",593428,"Bogaerts, Xander",2021,"2505","13.9","0.227","0.104","0.332","0.330","0.284","0.285","0.220","70","309","88.0","10.2","2236","88.5","88.56","94","293","56","0.1","6.33","108","151","120","146","294","324","294"
"339",502110,"Martinez, J.D.",2018,"2519","13.5","0.193","0.170","0.304","0.364","0.271","0.284","0.200","59","305","92.2","5.5","2224","88.6","88.17","120","282","57","-0.4","6.01","108","152","118","146","295","327","301"
"333",646240,"Devers, Rafael",2021,"2502","13.3","0.199","0.199","0.310","0.399","0.288","0.316","0.210","60","301","93.2","13.0","2260","89.3","89.38","121","281","52","0.1","6.34","116","157","133","151","288","324","306"
"329",502110,"Martinez, J.D.",2021,"2410","13.7","0.177","0.167","0.293","0.344","0.255","0.256","0.181","53","299","90.6","16.0","2265","88.8","88.84","126","278","51","0.0","6.33","108","152","122","147","297","326","298"
"328",643217,"Benintendi, Andrew",2018,"2581","12.7","0.232","0.143","0.339","0.375","0.297","0.297","0.227","68","293","89.4","10.2","2230","88.6","88.07","75","264","64","-0.5","5.99","115","149","121","149","278","317","304"
"327",502110,"Martinez, J.D.",2019,"2463","13.3","0.178","0.101","0.310","0.280","0.245","0.270","0.198","51","286","91.0","11.4","2301","87.7","87.35","116","267","60","-0.3","5.99","108","152","122","147","298","330","302"
"320",643217,"Benintendi, Andrew",2019,"2435","13.1","0.174","0.066","0.327","0.240","0.224","0.234","0.170","50","288","87.1","13.9","2233","88.6","88.35","117","266","54","-0.3","6.07","114","150","130","151","280","321","308"
"317",592669,"Renfroe, Hunter",2021,"2191","14.5","0.174","0.170","0.253","0.344","0.258","0.265","0.180","50","288","89.8","13.4","2257","88.3","88.18","98","257","60","-0.1","6.35","108","152","121","145","293","325","300"
"314",598265,"Bradley Jr., Jackie",2019,"2210","14.2","0.130","0.113","0.252","0.243","0.205","0.225","0.154","37","284","91.5","9.9","2241","88.0","87.68","129","258","56","-0.3","6.01","114","151","135","151","283","323","307"
