"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"702",605141,"Betts, Mookie",2019,"2909","24.1","0.295","0.229","0.309","0.524","0.380","0.411","0.309","176","597","91.0","19.2","2249","88.7","88.26","68","573","129","-0.4","6.00","107","152","119","145","294","327","300"
"698",593428,"Bogaerts, Xander",2019,"2862","24.4","0.309","0.246","0.338","0.555","0.390","0.357","0.272","190","614","90.5","13.3","2274","89.1","88.67","90","588","110","-0.4","6.05","108","151","119","146","293","326","297"
"695",646240,"Devers, Rafael",2019,"2636","26.4","0.311","0.244","0.339","0.555","0.377","0.369","0.299","201","647","92.3","10.3","2220","88.5","88.07","101","632","63","-0.4","6.02","115","151","121","150","287","327","308"
"664",643217,"Benintendi, Andrew",2018,"2581","25.7","0.290","0.174","0.328","0.465","0.357","0.354","0.282","168","579","88.6","12.7","2199","88.8","88.14","75","557","106","-0.7","6.00","113","148","114","149","279","317","305"
"657",646240,"Devers, Rafael",2021,"2502","26.3","0.279","0.259","0.307","0.538","0.373","0.395","0.291","165","591","92.7","12.9","2218","88.9","88.91","121","573","84","0.0","6.31","114","157","127","151","288","324","306"
"649",502110,"Martinez, J.D.",2019,"2463","26.3","0.304","0.252","0.342","0.557","0.386","0.395","0.301","175","575","91.3","12.5","2267","88.2","87.71","116","558","91","-0.5","6.00","108","152","121","147","298","330","303"
"641",502110,"Martinez, J.D.",2018,"2519","25.4","0.330","0.299","0.375","0.629","0.427","0.419","0.307","188","569","93.0","10.7","2201","89.0","88.41","120","550","91","-0.6","6.00","108","152","118","146","295","327","302"
"628",502110,"Martinez, J.D.",2021,"2410","26.1","0.286","0.232","0.340","0.518","0.364","0.374","0.288","163","570","92.1","16.9","2224","88.6","88.61","126","552","76","0.0","6.30","107","152","121","146","297","326","299"
"615",643217,"Benintendi, Andrew",2019,"2435","25.3","0.266","0.165","0.333","0.431","0.330","0.339","0.262","144","541","88.6","17.0","2207","89.1","88.81","117","526","89","-0.3","6.04","113","150","119","151","281","322","308"
"608",605141,"Betts, Mookie",2018,"2582","23.5","0.346","0.294","0.368","0.640","0.449","0.430","0.309","180","520","92.2","18.5","2224","89.3","88.63","68","502","106","-0.7","6.03","109","152","116","146","291","322","299"
