s2pit,player_id,player_name,season,totpit,s2pitpct,s2avg,s2iso,s2babip,s2slg,s2woba,s2abs,pa,kpct,bbpct,avg,slg,obp,ozspct,whiffpct,swpct
429,656555,"Hoskins, Rhys",2019,3223,13.3,0.163,0.133,0.268,0.296,0.264,361,705,24.5,16.5,0.226,0.454,0.363,22.1,23.2,39.2
418,519317,"Stanton, Giancarlo",2018,2942,14.2,0.176,0.187,0.326,0.363,0.273,369,705,29.9,9.9,0.266,0.509,0.343,28.6,34.4,44.9
414,502671,"Goldschmidt, Paul",2019,2888,14.3,0.202,0.172,0.309,0.374,0.289,361,682,24.3,11.4,0.26,0.476,0.345,28.4,26.3,46.5
412,660670,"Acuña Jr., Ronald",2019,3048,13.5,0.179,0.121,0.325,0.3,0.256,363,715,26.3,10.6,0.28,0.518,0.364,24,27.7,45.5
410,502671,"Goldschmidt, Paul",2018,2905,14.1,0.208,0.141,0.376,0.349,0.295,355,690,25.1,13,0.29,0.533,0.388,26,26.4,42.4
401,593428,"Bogaerts, Xander",2019,2862,14,0.251,0.119,0.362,0.37,0.299,362,698,17.5,10.9,0.309,0.555,0.384,27.4,20.9,41.1
397,542340,"Villar, Jonathan",2019,2843,14,0.171,0.038,0.345,0.209,0.23,345,714,24.6,8.5,0.274,0.453,0.338,28.1,27.3,49.8
397,571745,"Haniger, Mitch",2021,2775,14.3,0.191,0.146,0.303,0.337,0.255,362,691,24.5,7.8,0.253,0.485,0.318,29.2,29.8,46.6
392,514917,"Hernández, César",2018,3009,13,0.192,0.069,0.335,0.26,0.264,334,708,21.9,13.4,0.253,0.362,0.356,17.9,20.1,38.2
392,656305,"Chapman, Matt",2019,2805,14,0.166,0.142,0.243,0.308,0.255,344,670,21.9,10.9,0.249,0.506,0.342,22.8,23.7,42
390,547989,"Abreu, José",2019,2735,14.3,0.218,0.149,0.328,0.366,0.268,363,693,21.9,5.2,0.284,0.503,0.33,34.7,25.3,49.5
389,570560,"Sánchez, Yolmer",2018,2627,14.8,0.201,0.096,0.316,0.297,0.254,354,662,20.8,7.4,0.242,0.372,0.305,31.3,21.5,47.9
389,656555,"Hoskins, Rhys",2018,2920,13.3,0.199,0.176,0.295,0.376,0.289,346,660,22.7,13.2,0.246,0.496,0.353,19.5,21.8,39.2
387,624585,"Soler, Jorge",2019,2750,14.1,0.184,0.175,0.326,0.358,0.283,332,679,26.2,10.8,0.265,0.569,0.352,24.2,32.5,44.1
387,656305,"Chapman, Matt",2021,2675,14.5,0.117,0.081,0.25,0.198,0.204,333,622,32.5,12.9,0.21,0.403,0.314,22.9,32.7,44.6
384,666969,"García, Adolis",2021,2508,15.3,0.171,0.157,0.299,0.328,0.23,363,622,31.2,5.1,0.243,0.454,0.286,35.8,34.2,54.1
383,547180,"Harper, Bryce",2019,2787,13.7,0.164,0.133,0.312,0.297,0.262,323,682,26.1,14.5,0.26,0.51,0.372,30.4,33.7,48.7
382,553993,"Suárez, Eugenio",2019,2728,14,0.155,0.185,0.254,0.34,0.251,341,662,28.5,10.6,0.271,0.572,0.358,24,28.7,44.4
382,570731,"Schoop, Jonathan",2021,2588,14.8,0.225,0.107,0.326,0.331,0.261,356,674,19.7,5.5,0.278,0.435,0.32,35.2,24.7,52.5
380,502671,"Goldschmidt, Paul",2021,2751,13.8,0.203,0.125,0.307,0.328,0.266,345,679,20,9.9,0.294,0.514,0.365,25.2,24.9,44.2
379,592192,"Canha, Mark",2021,2642,14.3,0.179,0.094,0.27,0.273,0.257,330,625,20.5,12.3,0.231,0.387,0.358,20.7,21.5,40.5
379,621566,"Olson, Matt",2018,2844,13.3,0.181,0.145,0.31,0.326,0.273,331,660,24.7,10.6,0.247,0.453,0.335,21,27.5,44.4
376,457705,"McCutchen, Andrew",2018,2889,13,0.192,0.11,0.32,0.302,0.275,318,682,21.3,13.9,0.255,0.424,0.368,15.9,22.5,39.8
376,572761,"Carpenter, Matt",2018,2853,13.2,0.17,0.14,0.274,0.31,0.252,335,677,23.3,15.1,0.257,0.523,0.374,18.6,24.1,37.5
375,425783,"Choo, Shin-Soo",2019,2707,13.9,0.185,0.119,0.347,0.304,0.273,319,660,25,11.8,0.265,0.455,0.371,20.3,29.2,42.4
374,543760,"Semien, Marcus",2021,2923,12.8,0.201,0.213,0.295,0.413,0.299,334,724,20.2,9.1,0.265,0.538,0.334,21.2,21.5,45.1
373,596115,"Story, Trevor",2019,2684,13.9,0.183,0.141,0.343,0.324,0.265,327,656,26.5,8.8,0.294,0.554,0.363,28.5,26.4,48.1
373,641820,"Mancini, Trey",2019,2722,13.7,0.206,0.127,0.32,0.333,0.273,330,679,21.1,9.3,0.291,0.535,0.364,32,26.9,48.1
373,660162,"Moncada, Yoán",2018,2679,13.9,0.11,0.095,0.276,0.204,0.196,328,650,33.4,10.3,0.235,0.4,0.314,20.4,31,41.2
371,543257,"Grossman, Robbie",2021,2817,13.2,0.175,0.104,0.315,0.279,0.272,308,671,23.1,14.6,0.239,0.415,0.356,15.6,21.6,38.4
371,547180,"Harper, Bryce",2018,2877,12.9,0.151,0.145,0.279,0.296,0.263,311,695,24.3,18.7,0.249,0.496,0.393,25.2,31.3,45.7
371,641355,"Bellinger, Cody",2018,2644,14,0.201,0.129,0.337,0.33,0.271,333,632,23.9,10.9,0.26,0.47,0.343,24.4,29.7,45.1
370,425783,"Choo, Shin-Soo",2018,2770,13.4,0.153,0.065,0.293,0.218,0.249,307,665,23.5,13.8,0.264,0.434,0.376,21.9,26.8,40.9
370,592450,"Judge, Aaron",2021,2654,13.9,0.222,0.177,0.364,0.398,0.301,334,633,25,11.8,0.287,0.544,0.373,23.6,29.1,42.5
368,500871,"Escobar, Eduardo",2019,2691,13.7,0.189,0.136,0.264,0.325,0.244,338,699,18.6,7.2,0.269,0.511,0.32,37.8,24.8,52.6
368,520471,"Galvis, Freddy",2018,2573,14.3,0.186,0.101,0.306,0.287,0.239,338,656,22.4,6.9,0.248,0.38,0.299,35,26.3,50.3
368,547989,"Abreu, José",2021,2606,14.1,0.174,0.127,0.265,0.301,0.257,316,659,21.7,9.3,0.261,0.481,0.351,32.1,27.7,48.4
367,543760,"Semien, Marcus",2018,2881,12.7,0.178,0.077,0.272,0.254,0.219,338,703,18.6,8.7,0.255,0.388,0.317,23.6,20.3,43.8
365,624413,"Alonso, Pete",2019,2762,13.2,0.178,0.221,0.31,0.399,0.278,326,693,26.4,10.4,0.26,0.583,0.358,32,28,46.6
365,663586,"Riley, Austin",2021,2595,14.1,0.229,0.174,0.416,0.402,0.305,328,662,25.4,7.9,0.303,0.531,0.367,31,28.3,50.2
364,453568,"Blackmon, Charlie",2018,2724,13.4,0.218,0.17,0.316,0.388,0.29,335,696,19.3,8.5,0.291,0.502,0.358,29.2,20.3,47.7
364,621020,"Swanson, Dansby",2021,2578,14.1,0.189,0.156,0.31,0.344,0.257,334,653,25.6,8,0.248,0.449,0.311,24,30.4,48.1
364,624424,"Conforto, Michael",2018,2654,13.7,0.138,0.122,0.227,0.26,0.227,319,638,24.9,13.2,0.243,0.448,0.35,24,27.7,43.2
364,665742,"Soto, Juan",2019,2788,13.1,0.197,0.175,0.295,0.372,0.3,309,659,20,16.4,0.282,0.548,0.401,20.3,24,40.8
363,607208,"Turner, Trea",2018,2927,12.4,0.195,0.079,0.305,0.274,0.249,328,740,17.8,9.3,0.271,0.416,0.343,23.1,20.2,44
362,518735,"Grandal, Yasmani",2019,2733,13.2,0.166,0.139,0.263,0.305,0.272,302,632,22,17.2,0.246,0.468,0.38,21.4,25.5,38.5
361,660271,"Ohtani, Shohei",2021,2594,13.9,0.138,0.2,0.241,0.338,0.25,320,639,29.6,15,0.257,0.592,0.372,27.2,35,45.8
359,543333,"Hosmer, Eric",2019,2558,14,0.156,0.044,0.291,0.201,0.18,339,667,24.4,6,0.265,0.425,0.31,32.9,28.9,50
359,593160,"Merrifield, Whit",2019,2773,12.9,0.234,0.115,0.351,0.349,0.266,338,735,17.1,6.1,0.302,0.463,0.348,30.8,20,49.3
359,600869,"Candelario, Jeimer",2018,2673,13.4,0.156,0.069,0.296,0.225,0.216,320,619,25.8,10.7,0.224,0.393,0.317,25.6,25.6,42.6
359,621566,"Olson, Matt",2021,2774,12.9,0.225,0.209,0.294,0.435,0.332,306,673,16.8,13.1,0.271,0.54,0.371,23.7,23,47
358,543760,"Semien, Marcus",2019,2965,12.1,0.193,0.186,0.242,0.379,0.291,311,747,13.7,11.6,0.285,0.522,0.369,19.2,18.3,42.2
358,596129,"Vogelbach, Daniel",2019,2532,14.1,0.168,0.189,0.231,0.357,0.258,322,558,26.7,16.5,0.208,0.439,0.341,19.6,26.9,34
358,608336,"Gallo, Joey",2021,2612,13.7,0.113,0.162,0.267,0.275,0.242,302,616,34.6,18,0.199,0.458,0.351,18.9,38.8,40.4
357,518626,"Donaldson, Josh",2019,2742,13,0.182,0.192,0.299,0.375,0.292,307,659,23.5,15.2,0.259,0.521,0.379,23.1,29.9,43.9
357,641487,"Crawford, J.P.",2021,2791,12.8,0.219,0.074,0.329,0.293,0.26,324,687,16.6,8.4,0.273,0.376,0.338,21.7,15.5,44.2
357,641820,"Mancini, Trey",2018,2516,14.2,0.18,0.131,0.295,0.311,0.244,328,636,24.1,6.9,0.242,0.416,0.299,31.6,27.7,49.5
356,605119,"Anderson, Brian",2018,2641,13.5,0.209,0.082,0.339,0.291,0.267,316,670,19.3,9.3,0.273,0.4,0.357,23.4,24.3,46.3
355,663697,"India, Jonathan",2021,2643,13.4,0.22,0.134,0.37,0.355,0.293,313,631,22.3,11.3,0.269,0.459,0.376,21.8,25.1,39
355,664702,"Straw, Myles",2021,2653,13.4,0.205,0.047,0.323,0.252,0.244,317,638,19,10.5,0.271,0.348,0.348,19,13.5,40.4
354,600524,"Núñez, Renato",2019,2464,14.4,0.171,0.144,0.253,0.315,0.234,327,599,23.9,7.3,0.244,0.46,0.311,34.4,27.4,49.5
354,666182,"Bichette, Bo",2021,2609,13.6,0.195,0.065,0.313,0.26,0.212,339,690,19.9,5.8,0.298,0.484,0.343,38.1,22.3,57.8
354,666185,"Carlson, Dylan",2021,2530,14,0.176,0.115,0.305,0.292,0.253,312,619,24.6,9.2,0.266,0.437,0.342,23.9,27.9,45
353,645277,"Albies, Ozzie",2021,2608,13.5,0.178,0.142,0.264,0.32,0.241,325,686,18.7,6.9,0.259,0.488,0.31,34.2,24.9,56.8
353,646240,"Devers, Rafael",2019,2636,13.4,0.223,0.186,0.312,0.409,0.287,328,702,17,6.8,0.311,0.555,0.36,37.3,24,55
353,660162,"Moncada, Yoán",2021,2596,13.6,0.172,0.074,0.348,0.246,0.258,297,616,25.5,13.6,0.263,0.412,0.375,23.6,28.1,42.6
352,572122,"Seager, Kyle",2021,2554,13.8,0.158,0.192,0.232,0.35,0.259,317,670,24,8.8,0.212,0.438,0.285,29.2,29.6,49.6
352,605141,"Betts, Mookie",2019,2909,12.1,0.243,0.157,0.323,0.4,0.314,305,706,14.3,13.7,0.295,0.524,0.391,18.9,14.5,38.3
352,608070,"Ramírez, José",2018,3002,11.7,0.224,0.237,0.241,0.461,0.349,295,698,11.5,15.2,0.27,0.552,0.387,19.8,13.6,38.6
352,668227,"Arozarena, Randy",2021,2479,14.2,0.181,0.083,0.373,0.263,0.241,315,604,28.1,9.3,0.274,0.459,0.356,24.7,32.4,44.2
351,467793,"Santana, Carlos",2018,2801,12.5,0.174,0.131,0.225,0.305,0.272,298,679,13.7,16.2,0.229,0.414,0.352,20.9,19.3,41.4
350,542583,"Aguilar, Jesús",2018,2432,14.4,0.223,0.2,0.329,0.423,0.304,310,566,25.3,10.2,0.274,0.539,0.352,33.9,28.7,45.5
349,519317,"Stanton, Giancarlo",2021,2426,14.4,0.188,0.169,0.315,0.357,0.275,314,579,27.1,10.9,0.273,0.516,0.354,28,32.6,44.2
349,571970,"Muncy, Max",2019,2581,13.5,0.178,0.192,0.278,0.37,0.291,297,589,25.3,15.3,0.251,0.515,0.374,19.7,28.9,40.1
349,593428,"Bogaerts, Xander",2021,2505,13.9,0.227,0.104,0.332,0.33,0.284,309,603,18.7,10.3,0.295,0.493,0.37,31,22,45.7
349,608336,"Gallo, Joey",2018,2348,14.9,0.087,0.114,0.205,0.201,0.201,299,577,35.9,12.8,0.206,0.498,0.312,29.4,40.7,48.6
347,571745,"Haniger, Mitch",2018,2716,12.8,0.207,0.115,0.384,0.322,0.285,295,683,21.7,10.2,0.285,0.493,0.366,22.5,23.3,41.8
347,593871,"Polanco, Jorge",2019,2771,12.5,0.186,0.113,0.273,0.299,0.244,311,704,16.5,8.5,0.295,0.485,0.355,26.6,17.3,44.9
347,656305,"Chapman, Matt",2018,2544,13.6,0.209,0.174,0.344,0.383,0.287,316,616,23.7,9.4,0.278,0.508,0.356,21.1,23.6,41.5
347,663993,"Lowe, Nathaniel",2021,2691,12.9,0.184,0.072,0.374,0.257,0.249,304,642,25.2,12.5,0.264,0.415,0.357,22.9,23.5,44.7
346,476704,"Lowrie, Jed",2018,2738,12.6,0.187,0.137,0.294,0.324,0.281,299,680,18.8,11.5,0.267,0.448,0.353,21.4,20.3,45.9
346,621035,"Taylor, Chris",2018,2475,14,0.176,0.122,0.372,0.298,0.245,312,604,29.5,9.1,0.254,0.444,0.331,23.6,31.4,47.6
346,624424,"Conforto, Michael",2019,2587,13.4,0.195,0.132,0.342,0.327,0.273,303,648,23,13,0.257,0.494,0.363,25,27,45.8
345,514917,"Hernández, César",2019,2600,13.3,0.206,0.097,0.282,0.303,0.246,320,667,15,6.7,0.279,0.408,0.333,27.9,17.1,46
345,593160,"Merrifield, Whit",2018,2733,12.6,0.203,0.087,0.299,0.289,0.254,311,707,16.1,8.6,0.304,0.438,0.366,29.2,18.9,47.9
345,596019,"Lindor, Francisco",2018,2920,11.8,0.199,0.192,0.247,0.391,0.29,312,745,14.4,9.4,0.277,0.519,0.35,29.8,17.5,47.1
345,656775,"Mullins, Cedric",2021,2588,13.3,0.204,0.125,0.303,0.329,0.27,313,675,18.5,8.7,0.291,0.518,0.359,27.8,20.4,46.3
342,546318,"Herrera, Odúbel",2018,2319,14.7,0.193,0.098,0.284,0.291,0.23,326,597,20.4,6.4,0.255,0.42,0.31,38.3,27.3,52.4
342,596115,"Story, Trevor",2021,2402,14.2,0.178,0.172,0.279,0.35,0.271,303,595,23.4,8.9,0.251,0.471,0.329,30.3,27.4,50.8
342,641857,"McMahon, Ryan",2021,2388,14.3,0.169,0.149,0.275,0.318,0.248,308,596,24.7,9.9,0.254,0.449,0.331,24.5,29.2,48.8
342,663624,"Mountcastle, Ryan",2021,2295,14.9,0.17,0.144,0.296,0.314,0.242,312,586,27.5,7,0.255,0.487,0.309,38.1,31.6,55.1
341,521692,"Perez, Salvador",2021,2392,14.3,0.158,0.117,0.288,0.274,0.214,317,665,25.6,4.2,0.273,0.544,0.316,44.6,33.7,58.9
341,600869,"Candelario, Jeimer",2021,2547,13.4,0.2,0.148,0.327,0.348,0.279,305,626,21.6,10.4,0.271,0.443,0.351,29.1,23.4,47.6
340,518692,"Freeman, Freddie",2019,2750,12.4,0.227,0.155,0.349,0.382,0.297,304,692,18.4,12.6,0.295,0.549,0.389,29.3,24.2,52.1
340,572821,"Dozier, Brian",2018,2643,12.9,0.178,0.109,0.282,0.287,0.247,303,632,20.4,11.1,0.215,0.391,0.305,23.4,22.6,39.8
339,501981,"Davis, Khris",2018,2514,13.5,0.161,0.139,0.32,0.3,0.235,310,654,26.8,9,0.247,0.549,0.326,23,33.7,49.3
339,502110,"Martinez, J.D.",2018,2519,13.5,0.193,0.17,0.304,0.364,0.271,305,649,22.5,10.6,0.33,0.629,0.402,29.3,28.2,50.3
339,518692,"Freeman, Freddie",2018,2663,12.7,0.249,0.154,0.4,0.403,0.315,305,707,18.7,10.7,0.309,0.505,0.388,31,24.3,55.6
338,669242,"Edman, Tommy",2021,2612,12.9,0.189,0.101,0.262,0.289,0.232,318,691,13.7,5.5,0.262,0.387,0.307,28.2,14.9,47.4
337,455976,"Markakis, Nick",2018,2798,12,0.247,0.135,0.31,0.382,0.311,296,705,11.3,10.2,0.297,0.44,0.366,20,11.4,40.4
337,520471,"Galvis, Freddy",2019,2289,14.7,0.205,0.134,0.337,0.339,0.244,322,589,24.6,4.8,0.26,0.438,0.295,38.1,28.4,54.5
336,462101,"Andrus, Elvis",2019,2528,13.3,0.211,0.086,0.286,0.297,0.232,313,648,14.8,5.2,0.275,0.393,0.313,32.6,19.6,46.4
336,518934,"LeMahieu, DJ",2021,2660,12.6,0.252,0.093,0.351,0.346,0.302,301,679,13.8,10.8,0.268,0.362,0.349,20.5,14.4,41.4
336,543333,"Hosmer, Eric",2018,2571,13.1,0.179,0.058,0.321,0.237,0.216,312,677,21,9.2,0.253,0.398,0.322,29.2,27.6,48.5
336,571448,"Arenado, Nolan",2018,2592,13,0.231,0.221,0.322,0.451,0.318,308,673,18.1,10.8,0.297,0.561,0.373,30.2,24.6,49.8
336,641355,"Bellinger, Cody",2019,2688,12.5,0.232,0.199,0.31,0.431,0.321,297,661,16.3,14.4,0.305,0.629,0.405,23.7,23.5,44.6
336,641820,"Mancini, Trey",2021,2468,13.6,0.183,0.131,0.31,0.314,0.251,306,616,23.2,8.3,0.255,0.432,0.326,30.8,29.6,47
336,656941,"Schwarber, Kyle",2019,2539,13.2,0.155,0.165,0.267,0.32,0.247,297,610,25.6,11.5,0.25,0.531,0.339,23.9,27.9,43.3
335,457708,"Upton, Justin",2018,2527,13.3,0.15,0.105,0.313,0.255,0.229,294,613,28.7,10.4,0.257,0.463,0.344,20.9,31.5,42.6
335,500871,"Escobar, Eduardo",2018,2464,13.6,0.208,0.147,0.328,0.355,0.276,307,631,20,8.2,0.272,0.489,0.334,35.3,23.9,53
335,592206,"Castellanos, Nick",2018,2439,13.7,0.214,0.097,0.41,0.311,0.26,309,678,22.3,7.2,0.298,0.5,0.354,35.5,30.2,55.1
335,596115,"Story, Trevor",2018,2555,13.1,0.19,0.148,0.375,0.338,0.262,305,656,25.6,7.2,0.291,0.567,0.348,28.5,24.9,50.3
334,594809,"Eaton, Adam",2019,2664,12.5,0.202,0.086,0.299,0.288,0.263,292,656,16.2,9.9,0.279,0.428,0.36,27.4,17.2,44.6
333,571697,"Gennett, Scooter",2018,2443,13.6,0.232,0.095,0.371,0.327,0.271,306,638,19.6,6.6,0.31,0.49,0.356,36.3,20.1,53.6
333,608324,"Bregman, Alex",2018,2821,11.8,0.232,0.189,0.293,0.421,0.332,285,705,12.1,13.6,0.286,0.532,0.394,18.2,12.9,37.1
333,646240,"Devers, Rafael",2021,2502,13.3,0.199,0.199,0.31,0.399,0.288,301,664,21.5,9.3,0.279,0.538,0.352,32.3,27.7,53.6
